genre,name,title,id_album_deezer,deezerFans
Steampunk,Abney Park,The End Of Days,6956998.0,260.0
Steampunk,Abney Park,Off The Grid,8267348.0,123.0
Steampunk,Abney Park,Ancient World,8271896.0,244.0
Electronic,Abney Park,Wasteland,12114814.0,124.0
Christian,About A Mile,About A Mile,8025710.0,67.0
Jazz,About Group,Start & Complete,946374.0,88.0
Trance,Above & Beyond,Tri-State,1085032.0,245.0
Pop,Abraham Mateo,Abraham Mateo,438209.0,8155.0
Electronic,Absurd Minds,Venture Inward,459615.0,65.0
Electronic,Absurd Minds,Herzlos,459613.0,105.0
Synthpop,Absurd Minds,Serve Or Suffer,1537401.0,18.0
Christian,Abundant Life Ministries,Divine Exchange,14281186.0,3.0
Christian,Abundant Life Ministries,Sing,14281190.0,1.0
Jazz,Aca Seca Trío,Aca Seca Trío,298978.0,101.0
Jazz,Aca Seca Trío,Avenido,298978.0,101.0
Jazz,Aca Seca Trío,Ventanas,10635370.0,58.0
Gospel,Acappella,Better Than Life,6581724.0,340.0
Gospel,Acappella,While The Ages Roll On,6503104.0,219.0
Gospel,Acappella,Sweet Fellowship,6581733.0,340.0
Christmas,Acappella,A Savior Is Born (Acappella Carols),6581736.0,190.0
Gospel,Acappella,He Leadeth Me,6503104.0,219.0
Gospel,Acappella,Acappella En Español,6581720.0,258.0
Gospel,Acappella,Hymns For All The World,7614449.0,290.0
Gospel,Acappella,Beyond A Doubt,7614450.0,244.0
Religious,Acappella,Act Of God,7614451.0,384.0
Gospel,Acappella,Hymns For All The Ages,6581713.0,322.0
Gospel,Acappella,Heaven And Earth,7614453.0,296.0
Gospel,Acappella,Radiance,6581726.0,385.0
EBM,Accessory,Holy Machine,4299501.0,25.0
Pop,Acda En De Munnik,Acda En De Munnik,74493.0,1246.0
Pop,Acda En De Munnik,Naar Huis,74493.0,1246.0
Pop,Acda En De Munnik,Op Voorraad,74493.0,1246.0
Pop,Acda En De Munnik,Hier Zijn,730064.0,841.0
Pop,Acda En De Munnik,Groeten Uit Maaiveld,101641.0,523.0
Pop,Acda En De Munnik,"Ren Lenny, Ren",74493.0,1246.0
Pop,Acda En De Munnik,Liedjes Van Lenny,76914.0,418.0
Pop,Acda En De Munnik,Nachtmuziek,102658.0,1092.0
Pop,Ace Young,Ace Young,1916571.0,0.0
Rock,Ace Enders & A Million Different People,The Secret Wars,370964.0,26.0
Dance,Ace Of Base,Happy Nation,9631062.0,5405.0
Pop,Ace Of Base,The Sign,9631062.0,5405.0
Pop,Ace Of Base,The Bridge,9373934.0,1202.0
Pop,Ace Of Base,Flowers,9373942.0,511.0
Pop,Ace Of Base,Cruel Summer,9373942.0,511.0
Pop,Ace Of Base,Singles Of The 90s,1843781.0,11095.0
Pop,Ace Of Base,Greatest Hits,1843781.0,11095.0
Pop,Ace Of Base,Da Capo,9373968.0,501.0
Pop,Ace Of Base,The Golden Ratio,1606161.0,982.0
Rock,Aching Beauty,L'Ultima Ora,47990.0,26.0
Deutschrock,Achim Reichel,Ungeschminkt,6004763.0,52.0
Deutschrock,Achim Reichel,Blues In Blond,6004802.0,161.0
Deutschrock,Achim Reichel,Nachtexpress,6004730.0,57.0
Deutschrock,Achim Reichel,Eine Ewigkeit Unterwegs,6004801.0,80.0
Deutschrock,Achim Reichel,Melancholie Und Sturmflut,6004774.0,469.0
Deutschrock,Achim Reichel,Wahre Liebe,6004667.0,69.0
Volkslied,Achim Reichel,Volxlieder,461306.0,1.0
Rock,Acid,Acid 1.5 ～Punk Drunker～,526910.0,10.0
Rock,Acid,Acid 2.0 ～Spiritual Circus Complete～,6276062.0,1.0
Rock,Acid,Pray For The Future,6838243.0,65.0
Industrial,Acid Horse,"No Name, No Slogan",10101382.0,228.0
Rock,Acidman,酸化空,1275605.0,6.0
Rock,Acidman,Sou(創),320284.0,21.0
Rock,Acidman,Loop,320283.0,19.0
Rock,Acidman,Equal,320281.0,24.0
Rock,Acidman,And World,320296.0,20.0
Rock,Acidman,Green Chord,6722982.0,9.0
Rock,Acidman,Life,320360.0,27.0
Rock,Acidman,A Beautiful Greed,1262221.0,13.0
Soul,Aco,Lady Soul,7101307.0,1.0
Metalcore,Across The Sun,Before The Night Takes Us,6958313.0,53.0
Rock,ActionReaction,3 Is The Magic Number,1481419.0,5.0
Eurodance,Activate,Visions,2696461.0,36.0
Pop,Activ,Motive,162433.0,56.0
Rock,Acumen Nation,Strike 4,1022754.0,2.0
Rock,Acústicos & Valvulados,Acústicos & Valvulados,9142423.0,359.0
Rock,Acústicos & Valvulados,Acústicos & Valvulados 2,9142423.0,359.0
Rock,Acústicos & Valvulados,Esse Som Me Faz Tão Bem,8742047.0,109.0
Rock,Acústicos & Valvulados,Grande Presença!,14879317.0,19.0
Gothic,ADAM,ADAM,6623157.0,6.0
Rock,Adalita,Adalita,6841219.0,18.0
Rock,Adalita,All Day Venus,6914404.0,47.0
Schlager,Adam & Eve,Wenn Die Sonne Erwacht,396662.0,70.0
Schlager,Adam & Eve,Tango Amor,396662.0,70.0
Schlager,Adam & Eve,Alle Wege Dieser Welt,396662.0,70.0
Comedy,Adam And Andrew,Music Pimp$,8813259.0,4.0
Comedy,Adam And Andrew,Earection,8813259.0,4.0
Comedy,Adam And Andrew,I Now Pronounce You - An EP,5898911.0,1.0
Rock,Adam Again,In A New World Of Time,6289993.0,6.0
Rock,Adam Again,Ten Songs By Adam Again,6233170.0,7.0
Rock,Adam Again,Perfecta,6289994.0,9.0
Rock,Adam Again,Worldwide Favourites,1633677.0,8.0
Rock,Adam Ant,Friend Or Foe,76554.0,311.0
Rock,Adam Ant,Strip,73054.0,304.0
Rock,Adam Ant,Vive Le Rock,76554.0,311.0
Rock,Adam Ant,B-Side Babies,113696.0,14.0
Rock,Adam Ant,Wonderful,320350.0,259.0
Rock,Adam Ant,Redux,76554.0,311.0
Rock,Adam Ant,Adam Ant Is The Blueblack Hussar In Marrying The Gunner's Daughter,14376794.0,50.0
