_id,genre,id_artist,name,publicationDate,title,urlAlbum,id_album_deezer,deezerFans,language
ObjectId(5714debf25ac0d8aee3748e5),Avant-garde,ObjectId(56d9695dcc2ddd0c0f6badbc),Scott Walker,2006,The Drift,http://lyrics.wikia.com/Scott_Walker:The_Drift_%282006%29,105225.0,612,eng
ObjectId(5714debf25ac0d8aee3749fe),Soul,ObjectId(56d9699acc2ddd0c0f6bae37),Seal,1994,Seal,http://lyrics.wikia.com/Seal:Seal_%281994%29,467277.0,3647,eng
ObjectId(5714debf25ac0d8aee3749ff),Soul,ObjectId(56d9699acc2ddd0c0f6bae37),Seal,1998,Human Being,http://lyrics.wikia.com/Seal:Human_Being_%281998%29,273171.0,2190,eng
ObjectId(5714debf25ac0d8aee374a02),Soul,ObjectId(56d9699acc2ddd0c0f6bae37),Seal,2007,System,http://lyrics.wikia.com/Seal:System_%282007%29,92389.0,2350,eng
ObjectId(5714debf25ac0d8aee374a5d),Hip Hop,ObjectId(56d969accc2ddd0c0f6bae63),Sean Price,2007,Jesus Price Supastar,http://lyrics.wikia.com/Sean_Price:Jesus_Price_Supastar_%282007%29,4215701.0,862,eng
ObjectId(5714debf25ac0d8aee374a5f),Hip Hop,ObjectId(56d969accc2ddd0c0f6bae63),Sean Price,2009,Kimbo Price,http://lyrics.wikia.com/Sean_Price:Kimbo_Price_%282009%29,10128826.0,2,eng
ObjectId(5714debf25ac0d8aee374aac),House,ObjectId(56d969dbcc2ddd0c0f6bae84),SebastiAn,2011,Total,http://lyrics.wikia.com/SebastiAn:Total_%282011%29,6755038.0,3223,eng
ObjectId(5714debf25ac0d8aee374abe),Glam Metal,ObjectId(56d969ddcc2ddd0c0f6bae89),Sebastian Bach,2007,Angel Down,http://lyrics.wikia.com/Sebastian_Bach:Angel_Down_%282007%29,312965.0,714,eng
ObjectId(5714debf25ac0d8aee374c13),Latin,ObjectId(56d96a25cc2ddd0c0f6baf2b),Selena,1990,Ven Conmigo,http://lyrics.wikia.com/Selena:Ven_Conmigo_%281990%29,342904.0,1155,spa
ObjectId(5714debf25ac0d8aee374c15),Latin,ObjectId(56d96a25cc2ddd0c0f6baf2b),Selena,1992,Entre A_Mi_Mundo,http://lyrics.wikia.com/Selena:Entre_A_Mi_Mundo_%281992%29,304246.0,772,spa
ObjectId(5714debf25ac0d8aee374c1c),Latin,ObjectId(56d96a25cc2ddd0c0f6baf2b),Selena,1994,Amor Prohibido,http://lyrics.wikia.com/Selena:Amor_Prohibido_%281994%29,304251.0,2179,spa
ObjectId(5714debf25ac0d8aee374c1d),Latin,ObjectId(56d96a25cc2ddd0c0f6baf2b),Selena,1994,12 Super_Exitos,http://lyrics.wikia.com/Selena:12_Super_Exitos_%281994%29,304251.0,2179,spa
ObjectId(5714debf25ac0d8aee374c1f),Latin,ObjectId(56d96a25cc2ddd0c0f6baf2b),Selena,1995,Dreaming Of_You,http://lyrics.wikia.com/Selena:Dreaming_Of_You_%281995%29,304251.0,2179,eng
ObjectId(5714debf25ac0d8aee374cc8),Dance,ObjectId(56d96a65cc2ddd0c0f6baf76),September,2005,In Orbit,http://lyrics.wikia.com/September:In_Orbit_%282005%29,1436662.0,165,eng
